word	pos	meaning_en	source	file
おかず	noun	side dish	ja.wikipedia.org	500px-Obanzai_yasai.JPG
おじいさん	noun	grandfather; elderly man	ja.wikipedia.org	500px-Bundesarchiv_Bild_183-46103-0002,_Bornstedt,_Einzelbauer_mit_Enkel.jpg
おじさん	noun	uncle; middle-aged man	en.wikipedia.org (ja article)	500px-thumbnail.jpg
おばあさん	noun	grandmother; elderly woman	ja.wikipedia.org	500px-Oldwoman_cry_baby_nakba.jpg
おばさん	noun	aunt; middle-aged woman	en.wikipedia.org (ja article)	500px-Aunt_&_Niece_(7936230820).jpg
おもちゃ	noun	toy	ja.wikipedia.org	500px-Wooden_toys.JPG
お土産	noun	souvenir	ja.wikipedia.org	500px-Nakamise,_Asakusa,_Japan,_School_Girls,_Olym1_043.jpg
お姉さん	noun	older sister	ja.wikipedia.org	500px-Nuclear_family_member_older_sister.svg.png
お宅	noun	your home (polite)	ja.wikipedia.org	500px-Mansei-bashi_Crossing,_21_July_2013.jpg
お弁当	noun	boxed lunch	ja.wikipedia.org	500px-Home_made_Bento.jpg
お手洗い	noun	restroom; bathroom	ja.wikipedia.org	500px-女子便所_男子便所_(8157785835).jpg
お母さん	noun	mother	ja.wikipedia.org	500px-Nuclear_family_member_mother.svg.png
お父さん	noun	father	ja.wikipedia.org	500px-Nuclear_family_member_father.svg.png
お腹	noun	stomach; belly	ja.wikipedia.org	500px-Abdomen_young_male_yellow.jpg
お茶	noun	tea	ja.wikipedia.org	500px-Tea_time_お茶の時間.jpg
お菓子	noun	sweets; snacks	ja.wikipedia.org	500px-Mary's_chocates_gift_box,_made_in_Japan.jpg
お辞儀	noun	bow	ja.wikipedia.org	500px-Westindischer_Maler_um_1530_001.jpg
お酒	noun	alcohol; sake	ja.wikipedia.org	500px-17-05-06-Miniaturen_RR79036.jpg
お風呂	noun	bath	en.wikipedia.org (ja article)	500px-Syokokuji_senmyo.jpg
かばん	noun	bag; briefcase	ja.wikipedia.org	Totebag.jpg
くしゃみ	noun	sneeze	ja.wikipedia.org	500px--Qualitative-Real-Time-Schlieren-and-Shadowgraph-Imaging-of-Human-Exhaled-Airflows-An-Aid-to-Aerosol-pone.0021392.s002.ogv.jpg
ご飯	noun	cooked rice; meal	ja.wikipedia.org	500px-Meshi_002.jpg
ひげ	noun	beard; mustache	ja.wikipedia.org	500px-Photography-wallpaper-facial-hair-man-beard-chin-moustache-human-elder-portrait-1453095.jpg
ひらがな	noun	hiragana	ja.wikipedia.org	500px-ひ_教科書体.svg.png
りんご	noun	apple	ja.wikipedia.org	500px-Red_Apple.jpg
アイスクリーム	noun	ice cream	ja.wikipedia.org	500px-Ice_Cream_dessert_02.jpg
アナウンサー	noun	announcer	en.wikipedia.org (ja article)	500px-Maryposa_Deidenang_hosts_a_show_at_the_Nauruan_radio_station,_28_May_2013._Matt_Robertson_-_DFAT_(12045932634).jpg
アニメ	noun	anime; animation	en.wikipedia.org	500px--TVアニメ「ヒロインたるもの！～嫌われヒロインと内緒のお仕事～」第2弾PV_-_4月7日（木）放送開始.webm.jpg
アパート	noun	apartment	ja.wikipedia.org	500px-23rd_St_6th_Av_19_-_Chelsea_Stratus.jpg
アルコール	noun	alcohol	en.wikipedia.org (ja article)	500px-Alcohol.png
アンケート	noun	questionnaire; survey	en.wikipedia.org (ja article)	500px-Questionaire_in_Thai.png
インタビュー	noun	interview	ja.wikipedia.org	500px-Wikimania_interview_dlf3.jpg
インターネット	noun	internet	ja.wikipedia.org	500px-Internet_map_1024_-_transparent,_inverted.png
エアコン	noun	air conditioner	ja.wikipedia.org	500px-IMG_ダイキン製エアコン.jpg
エスカレーター	noun	escalator	ja.wikipedia.org	500px-OldEscalator_in_Macy's_NYC.jpg
エネルギー	noun	energy	en.wikipedia.org (ja article)	500px-Plasma_globe_60th.jpg
エレベーター	noun	elevator	en.wikipedia.org (ja article)	500px-Spalding_Building,_Portland,_Oregon_(2012)_-_15.JPG
オフィス	noun	office	ja.wikipedia.org	500px-ミネ五十子_本社.jpg
オートバイ	noun	motorcycle	ja.wikipedia.org	500px-Yamaha_R1_RN49.jpg
カタカナ	noun	katakana	ja.wikipedia.org	500px-Japanese_Katakana_KA.svg.png
カメラ	noun	camera	en.wikipedia.org (ja article)	500px-LEI0440_Leica_IIIf_chrom_-_Sn._580566_1951-52-M39_Blitzsynchron_front_view-6531_hf-.jpg
カレンダー	noun	calendar	ja.wikipedia.org	500px-WallCalendar.jpg
カレー	noun	curry	ja.wikipedia.org	Indian_curry_with_dosa.jpg
カロリー	noun	calorie	en.wikipedia.org (ja article)	500px-FDA_Nutrition_Facts_Label_2016.png
カーテン	noun	curtain	ja.wikipedia.org	500px-Gordijnen_aan_venster.JPG
ガソリン	noun	gasoline	ja.wikipedia.org	500px-Gasoline_in_mason_jar.jpg
ガソリンスタンド	noun	gas station	en.wikipedia.org (ja article)	500px-Mattoon_Service_Station_(pre-fabricated),_angle_view,_National_&_Washington_Boulevards,_Culver_City,_California_LOC_37555778230.jpg
ガラス	noun	glass (material)	ja.wikipedia.org	500px-ガラス細工8172048.jpg
ケーキ	noun	cake	ja.wikipedia.org	Strawberry_shortcake-factoryshin-crop.png
ゲーム	noun	game	en.wikipedia.org (ja article)	500px-Gaming_Board_Inscribed_for_Amenhotep_III_with_Separate_Sliding_Drawer,_ca._1390-1353_B.C.E.,49.56a-b.jpg
コップ	noun	glass; cup	ja.wikipedia.org	Koppu.jpg
コミュニケーション	noun	communication	ja.wikipedia.org	500px-Stephen_Avenue_3.jpg
コンクール	noun	contest; competition	ja.wikipedia.org	500px-Concours_de_plaidoiries.jpg
コンサート	noun	concert	en.wikipedia.org (ja article)	500px-Dülmen,_Dülmener_Sommer,_Open-Air-Konzert,_"Bounce"_--_2018_--_0051.jpg
コンビニ	noun	convenience store	en.wikipedia.org (ja article)	500px-Convenience_store_interior.jpg
コンピューター	noun	computer	en.wikipedia.org (ja article)	500px-ENIAC-changing_a_tube_(cropped).jpg
コート	noun	coat	en.wikipedia.org	FalatJulian.PortretAntoniegoWodzickiego.1900.ws.jpg
コーヒー	noun	coffee	ja.wikipedia.org	500px-Latte_and_dark_coffee.jpg
サッカー	noun	soccer	ja.wikipedia.org	500px-Football_in_Bloomington,_Indiana,_1995.jpg
サラダ	noun	salad	ja.wikipedia.org	500px-Salad_platter.jpg
サンドイッチ	noun	sandwich	ja.wikipedia.org	500px-Sandwiches_Vienna.jpg
サービス	noun	service	ja.wikipedia.org	500px-Lima_waiter_PUCPeru_2010.jpg
システム	noun	system	ja.wikipedia.org	500px-System_boundary.svg.png
シャツ	noun	shirt	ja.wikipedia.org	500px-Blue_Business_Shirt.jpg
シャワー	noun	shower	ja.wikipedia.org	500px-Showerhead.JPG
ショック	noun	shock	en.wikipedia.org (ja article)	500px-US_Navy_120203-N-CD652-004_U.S._Naval_Hospital_Guantanamo_Bay_emergency_technician_(EMT)_trainees_work_with_Naval_Station_Guantanamo_Bay_firemen_to.jpg
ジャム	noun	jam	en.wikipedia.org (ja article)	500px-Fruits_jam_variants.jpg
ジュース	noun	juice	ja.wikipedia.org	500px-Orange_juice_1.jpg
スカート	noun	skirt	ja.wikipedia.org	Peasant_skirt_1435043608.jpg
スプーン	noun	spoon	ja.wikipedia.org	500px-Dessert_Spoon.jpg
スポーツ	noun	sports	ja.wikipedia.org	500px-Germany_and_Argentina_face_off_in_the_final_of_the_World_Cup_2014_04_crop.jpg
スリッパ	noun	slippers	en.wikipedia.org (ja article)	500px-Slippers.jpg
スーツケース	noun	suitcase	ja.wikipedia.org	500px-Suitcase_750x500.jpg
スーパー	noun	supermarket	en.wikipedia.org	500px-Stop&Shop.jpg
スープ	noun	soup	ja.wikipedia.org	500px-Albert_Anker_-_Suppe_essendes_Mädchen_(1898).jpg
ズボン	noun	trousers; pants	ja.wikipedia.org	500px-Blonde_woman_wearing_jeans_-_2007.JPG
セミナー	noun	seminar	ja.wikipedia.org	500px-Seminar_(26348439707).jpg
セーター	noun	sweater	ja.wikipedia.org	500px-Jersei-coll-alt.jpg
タオル	noun	towel	ja.wikipedia.org	500px-Towels.JPG
タクシー	noun	taxi	ja.wikipedia.org	500px-Times_Square_16_Sep_2012_(day).jpg
チョコレート	noun	chocolate	ja.wikipedia.org	500px-Chocolate_(blue_background).jpg
チーム	noun	team	en.wikipedia.org (ja article)	500px-Team_work.jpg
チームワーク	noun	teamwork	ja.wikipedia.org	500px-Pushing_van_together.jpg
テニス	noun	tennis	ja.wikipedia.org	500px-US_Open_2007,_Maria_Sharapova_serving.jpg
テレビ	noun	television	en.wikipedia.org (ja article)	500px-Cptvdisplay.jpg
デザイン	noun	design	en.wikipedia.org (ja article)	500px-Braun_ABW30_(schwarz).jpg
デパート	noun	department store	ja.wikipedia.org	500px-Interior_of_a_typical_Macy's_department_store.jpg
データ	noun	data	en.wikipedia.org (ja article)	500px-Data_types_-_en.svg.png
トイレ	noun	toilet; bathroom	ja.wikipedia.org	500px-Setouchi_Triennale_-Teshima_Yokoo_House_（豊島横尾館）横尾忠則-永山裕子_DSCF3593.JPG
トマト	noun	tomato	ja.wikipedia.org	500px-Tomatoes-on-the-bush.jpg
